52	3R	+	4233047	4235041	FBtr0078967	1	1995	FBgn0015331	abs	15.495739	22.421080	Q9V3C0
1230	3R	-	8236632	8240515	FBtr0334315	4	2636	FBgn0037555	Ada2b	22.147049	32.044987	Q8I8V0
1231	3R	-	8237114	8240515	FBtr0081807	4	2154	FBgn0037555	Ada2b	27.102888	39.215683	Q8I8V0
1232	3R	-	8237114	8240515	FBtr0100368	4	2084	FBgn0037555	Ada2b	34.052628	49.271393	Q8I8V0
1511	3R	+	9065183	9066303	FBtr0081971	1	1121	FBgn0037661	Ada	6.031222	8.726689	Q9VHH7
2714	3R	-	13222951	13258777	FBtr0335223	10	3262	FBgn0000024	Ace	0.000000	0.000000	P07140
2715	3R	-	13224625	13258777	FBtr0082780	10	7980	FBgn0000024	Ace	0.000000	0.000000	P07140
2716	3R	-	13228242	13259517	FBtr0300486	11	4076	FBgn0000024	Ace	0.000000	0.000000	P07140
2779	3R	+	13425983	13428089	FBtr0082785	2	1567	FBgn0000046	Act87E	0.000000	0.000000	P10981
2780	3R	+	13425983	13428375	FBtr0346242	2	1853	FBgn0000046	Act87E	0.000000	0.000000	P10981
2781	3R	+	13426447	13428089	FBtr0082786	1	1643	FBgn0000046	Act87E	0.000000	0.000000	P10981
2967	3R	-	14124163	14125548	FBtr0337095	4	1200	FBgn0010340	140up	2.505750	3.625617	P81928
2968	3R	-	14124426	14125548	FBtr0082909	4	937	FBgn0010340	140up	3.935763	5.694730	P81928
3357	3R	+	15439969	15442177	FBtr0083143	3	1595	FBgn0000047	Act88F	0.000000	0.000000	P83967
3403	3R	+	15792688	15793411	FBtr0083174	4	543	FBgn0038363	Acyp2	0.000000	0.000000	Q9VF36
3404	3R	+	15792688	15793487	FBtr0334591	4	619	FBgn0038363	Acyp2	0.000000	0.000000	Q9VF36
3528	3R	+	16099228	16104515	FBtr0083226	7	3649	FBgn0010379	Akt1	9.272149	13.416048	Q8INB9
3529	3R	+	16099228	16104515	FBtr0083227	7	3714	FBgn0010379	Akt1	8.819122	12.760555	Q8INB9
3530	3R	+	16099228	16104515	FBtr0083228	7	3649	FBgn0010379	Akt1	9.272149	13.416048	Q8INB9
3531	3R	+	16099228	16105670	FBtr0344717	7	4869	FBgn0010379	Akt1	6.727094	9.733561	Q8INB9
3532	3R	+	16100760	16104515	FBtr0344470	7	3301	FBgn0010379	Akt1	0.000000	0.000000	Q8INB9
3729	3R	-	16807214	16830049	FBtr0306337	6	5269	FBgn0000014	abd-A	0.000000	0.000000	P29555
3730	3R	-	16807627	16828105	FBtr0083388	5	3935	FBgn0000014	abd-A	0.000000	0.000000	P29555
3731	3R	-	16807627	16829752	FBtr0083387	7	4458	FBgn0000014	abd-A	0.000000	0.000000	P29555
3732	3R	-	16807627	16829752	FBtr0300485	6	4559	FBgn0000014	abd-A	0.000000	0.000000	P29555
3756	3R	-	16927210	16972236	FBtr0083385	7	3703	FBgn0000015	Abd-B	0.000000	0.000000	P09087
3757	3R	-	16927673	16931613	FBtr0330709	4	2537	FBgn0000015	Abd-B	0.000000	0.000000	P09087
3758	3R	-	16927673	16931613	FBtr0346764	4	2537	FBgn0000015	Abd-B	0.000000	0.000000	P09087
3759	3R	-	16927673	16934576	FBtr0083384	5	4743	FBgn0000015	Abd-B	0.000000	0.000000	P09087
3760	3R	-	16927673	16944269	FBtr0083383	7	3250	FBgn0000015	Abd-B	0.000000	0.000000	P09087
3761	3R	-	16927673	16960506	FBtr0083382	7	3297	FBgn0000015	Abd-B	0.000000	0.000000	P09087
3762	3R	-	16927673	16963945	FBtr0083381	7	3549	FBgn0000015	Abd-B	0.000000	0.000000	P09087
3765	3R	-	16978439	16982035	FBtr0083378	8	1780	FBgn0015011	Ahcy89E	0.000000	0.000000	P50245
3766	3R	-	16978439	16982158	FBtr0083379	7	1969	FBgn0015011	Ahcy89E	0.000000	0.000000	P50245
4129	3R	+	18242531	18250279	FBtr0083566	4	3092	FBgn0020238	14-3-3epsilon	128.540161	185.987198	P92177
4130	3R	+	18242531	18250550	FBtr0083568	4	3360	FBgn0020238	14-3-3epsilon	7.193583	10.408532	P92177
4131	3R	+	18242687	18248579	FBtr0083565	4	1239	FBgn0020238	14-3-3epsilon	473.964294	685.787903	P92177
4132	3R	+	18242687	18248579	FBtr0083567	4	1221	FBgn0020238	14-3-3epsilon	149.204117	215.886276	P92177
4137	3R	-	18252843	18255487	FBtr0310380	4	2400	FBgn0263738	Ada2a	0.000000	0.000000	Q7KSD8
4138	3R	-	18252843	18255487	FBtr0310381	4	2445	FBgn0263738	Ada2a	0.000000	0.000000	Q7KSD8
4139	3R	-	18252843	18255487	FBtr0310382	5	2340	FBgn0263738	Ada2a	0.000000	0.000000	Q7KSD8
4140	3R	-	18252843	18255487	FBtr0310383	5	2385	FBgn0263738	Ada2a	0.000000	0.000000	Q7KSD8
4141	3R	-	18252955	18255487	FBtr0310384	6	2158	FBgn0263738	Ada2a	0.000000	0.000000	Q7KSD8
4776	3R	-	20824667	20830580	FBtr0083991	5	1951	FBgn0027493	AdSS	93.055260	134.643417	Q9Y0Y2
5283	3R	-	22543693	22547198	FBtr0084283	6	2186	FBgn0038984	AdipoR	0.544734	0.788186	Q9VCY8
5284	3R	-	22543693	22547846	FBtr0084282	7	2299	FBgn0038984	AdipoR	21.529848	31.151945	Q9VCY8
5285	3R	-	22544117	22546273	FBtr0084284	7	1618	FBgn0038984	AdipoR	0.000000	0.000000	Q9VCY8
5286	3R	-	22544117	22547565	FBtr0334561	7	1869	FBgn0038984	AdipoR	0.000000	0.000000	Q9VCY8
5287	3R	-	22544117	22547846	FBtr0308848	7	1875	FBgn0038984	AdipoR	26.398468	38.196445	Q9VCY8
5802	3R	+	24228975	24229279	FBtr0084561	2	243	FBgn0002863	Acp95EF	0.000000	0.000000	P16548
6201	3R	-	25263267	25265721	FBtr0084866	1	2455	FBgn0027090	Aats-gln	57.663952	83.435066	Q9Y105
