#nmismatch	name1	strand1	start1	end1	name2	strand2	start2	end2
0	U00096.2	+	38693	38964	NODE_1_length_272_cov_1.389121	+	1	272
0	U00096.2	+	53572	54002	NODE_2_length_431_cov_1.643216	+	1	431
0	U00096.2	+	94297	94531	NODE_3_length_235_cov_1.905941	-	1	235
0	U00096.2	+	99482	99684	NODE_4_length_203_cov_1.170588	-	1	203
0	U00096.2	+	29698	30069	NODE_5_length_372_cov_1.646018	-	1	372
0	U00096.2	+	75070	75420	NODE_6_length_351_cov_1.861635	-	1	351
0	U00096.2	+	74220	74517	NODE_7_length_298_cov_1.558491	-	1	298
0	U00096.2	+	2793	3051	NODE_8_length_259_cov_1.929204	-	1	259
0	U00096.2	+	480	851	NODE_9_length_372_cov_1.761062	+	1	372
0	U00096.2	+	54238	54476	NODE_10_length_239_cov_1.276699	-	1	239
0	U00096.2	+	13163	13528	NODE_11_length_366_cov_2.708709	+	1	366
122	U00096.2	+	2655620	2655955	NODE_11_length_366_cov_2.708709	-	22	349
0	U00096.2	+	28080	28372	NODE_12_length_293_cov_1.726923	-	1	293
0	U00096.2	+	33664	34081	NODE_13_length_418_cov_2.054545	-	1	418
0	U00096.2	+	91308	91591	NODE_14_length_284_cov_1.354582	+	1	284
0	U00096.2	+	37408	38096	NODE_15_length_689_cov_2.190549	+	1	689
0	U00096.2	+	17116	17646	NODE_16_length_531_cov_1.686747	+	1	531
0	U00096.2	+	1570	1840	NODE_17_length_271_cov_1.126050	-	1	271
0	U00096.2	+	90811	91017	NODE_18_length_207_cov_0.890805	-	1	207
0	U00096.2	+	23094	23448	NODE_19_length_355_cov_1.754658	+	1	355
0	U00096.2	+	58113	58449	NODE_20_length_337_cov_1.976974	+	1	337
5	U00096.2	+	4532752	4532811	NODE_20_length_337_cov_1.976974	+	66	125
0	U00096.2	+	30116	30589	NODE_21_length_474_cov_1.276644	+	1	474
0	U00096.2	+	13749	14174	NODE_22_length_426_cov_1.681934	+	1	426
0	U00096.2	+	97495	97790	NODE_23_length_296_cov_2.292776	+	1	296
0	U00096.2	+	92233	92591	NODE_24_length_359_cov_1.435583	+	1	359
0	U00096.2	+	42336	42686	NODE_25_length_351_cov_1.474843	+	1	351
94	U00096.2	+	1777632	1777915	NODE_25_length_351_cov_1.474843	+	59	351
0	U00096.2	+	50966	51337	NODE_26_length_372_cov_1.545723	-	1	372
23	U00096.2	+	5158	5712	NODE_27_length_905_cov_1.697248	+	1	523
14	U00096.2	+	111457	111580	NODE_27_length_905_cov_1.697248	+	394	486
15	U00096.2	+	216082	216166	NODE_27_length_905_cov_1.697248	+	394	470
11	U00096.2	+	247485	247565	NODE_27_length_905_cov_1.697248	+	394	464
17	U00096.2	+	248227	248335	NODE_27_length_905_cov_1.697248	+	394	486
31	U00096.2	+	348791	348915	NODE_27_length_905_cov_1.697248	+	372	486
19	U00096.2	+	348908	349008	NODE_27_length_905_cov_1.697248	+	394	486
18	U00096.2	+	349001	349101	NODE_27_length_905_cov_1.697248	+	394	486
19	U00096.2	+	349094	349194	NODE_27_length_905_cov_1.697248	+	394	486
3	U00096.2	+	353958	353999	NODE_27_length_905_cov_1.697248	+	408	449
8	U00096.2	+	500702	500751	NODE_27_length_905_cov_1.697248	+	394	443
18	U00096.2	+	762013	762108	NODE_27_length_905_cov_1.697248	+	395	486
2	U00096.2	+	900023	900058	NODE_27_length_905_cov_1.697248	+	408	443
14	U00096.2	+	2116490	2116579	NODE_27_length_905_cov_1.697248	+	408	486
16	U00096.2	+	2116572	2116676	NODE_27_length_905_cov_1.697248	+	394	486
16	U00096.2	+	2302466	2302586	NODE_27_length_905_cov_1.697248	+	394	486
15	U00096.2	+	2302579	2302699	NODE_27_length_905_cov_1.697248	+	394	486
17	U00096.2	+	2302692	2302812	NODE_27_length_905_cov_1.697248	+	394	486
