#nmismatch	name1	strand1	start1	end1	name2	strand2	start2	end2
0	U00096.2	+	69908	70225	NODE_1_length_288_cov_2.038194	-	1	318
0	U00096.2	+	84148	84453	NODE_2_length_276_cov_1.771739	-	1	306
0	U00096.2	+	13804	14119	NODE_3_length_286_cov_2.034965	+	1	316
0	U00096.2	+	48145	48335	NODE_4_length_161_cov_1.881988	-	1	191
121	U00096.2	+	2655628	2655955	NODE_5_length_301_cov_3.019933	+	3	324
0	U00096.2	+	13173	13503	NODE_5_length_301_cov_3.019933	-	1	331
0	U00096.2	+	13038	13158	NODE_6_length_91_cov_2.494505	+	1	121
0	U00096.2	+	91309	91513	NODE_7_length_175_cov_1.548571	+	1	205
0	U00096.2	+	91488	91591	NODE_8_length_74_cov_1.162162	-	1	104
0	U00096.2	+	8474	9015	NODE_9_length_512_cov_2.654297	-	1	542
138	U00096.2	+	2576922	2577447	NODE_9_length_512_cov_2.654297	-	2	527
0	U00096.2	+	77926	78604	NODE_10_length_649_cov_3.714946	-	1	679
245	U00096.2	+	2262217	2262867	NODE_10_length_649_cov_3.714946	-	22	675
269	U00096.2	+	3835306	3835961	NODE_10_length_649_cov_3.714946	-	23	675
0	U00096.2	+	66216	66593	NODE_11_length_348_cov_1.982759	+	1	378
93	U00096.2	+	3748081	3748431	NODE_11_length_348_cov_1.982759	-	17	366
112	U00096.2	+	4421697	4422051	NODE_11_length_348_cov_1.982759	-	16	378
0	U00096.2	+	61790	62787	NODE_12_length_968_cov_1.780992	-	1	998
0	U00096.2	+	47250	47356	NODE_13_length_77_cov_2.467532	+	1	107
0	U00096.2	+	145	287	NODE_14_length_113_cov_2.876106	+	1	143
0	U00096.2	+	290	441	NODE_15_length_122_cov_3.049180	-	1	152
0	U00096.2	+	74551	74666	NODE_16_length_86_cov_1.476744	-	1	116
104	U00096.2	+	3850319	3850598	NODE_17_length_250_cov_2.240000	+	1	280
0	U00096.2	+	85812	86091	NODE_17_length_250_cov_2.240000	-	1	280
94	U00096.2	+	3948754	3948988	NODE_17_length_250_cov_2.240000	-	2	236
0	U00096.2	+	14419	14764	NODE_18_length_316_cov_2.579114	+	1	346
0	U00096.2	+	14777	15133	NODE_19_length_327_cov_2.773700	-	1	357
0	U00096.2	+	65406	65500	NODE_20_length_65_cov_1.415385	-	1	95
0	U00096.2	+	65240	65354	NODE_21_length_85_cov_1.364706	+	1	115
0	U00096.2	+	41387	41597	NODE_22_length_181_cov_1.541436	+	1	211
0	U00096.2	+	96716	96865	NODE_23_length_120_cov_2.925000	-	1	150
0	U00096.2	+	96582	96701	NODE_24_length_90_cov_2.300000	+	1	120
